"Datum","El kWh","Utomhustemperatur","Status"
"2022-08-16 11:00","1,49","26,8","Normalt"
"2022-08-16 12:00","0,58","27,5","Normalt"
"2022-08-16 13:00","0,6","28,7","Normalt"
"2022-08-16 14:00","0,46","29,1","Normalt"
"2022-08-16 15:00","0,76","29,7","Normalt"
"2022-08-16 16:00","1,86","29,3","Normalt"
"2022-08-16 17:00","1,25","28,6","Normalt"
"2022-08-16 18:00","0,65","27,4","Normalt"
"2022-08-16 19:00","0,85","26,3","Normalt"
"2022-08-16 20:00","1,37","25,1","Normalt"
"2022-08-16 21:00","0,77","23,8","Normalt"
"2022-08-16 22:00","1,83","23,1","Normalt"
"2022-08-16 23:00","0,89","22,3","Normalt"
"2022-08-17 00:00","2,5","21,7","Normalt"
"2022-08-17 01:00","1,19","21,1","Normalt"
"2022-08-17 02:00","0,42","20,4","Normalt"
"2022-08-17 03:00","0,33","20,7","Normalt"
"2022-08-17 04:00","0,31","20,6","Normalt"
"2022-08-17 05:00","1,2","20,2","Normalt"
"2022-08-17 06:00","0,5","20,3","Normalt"
"2022-08-17 07:00","0,31","20,6","Normalt"
"2022-08-17 08:00","0,35","20,9","Normalt"
"2022-08-17 09:00","0,45","22,4","Normalt"
"2022-08-17 10:00","0,48","23,4","Normalt"
"2022-08-17 11:00","0,54","24,7","Normalt"
"2022-08-17 12:00","1,65","25,7","Normalt"
"2022-08-17 13:00","1,6","26,1","Normalt"
"2022-08-17 14:00","1,45","28,1","Normalt"
"2022-08-17 15:00","0,94","28,2","Normalt"
"2022-08-17 16:00","1,52","27,8","Normalt"
"2022-08-17 17:00","0,88","27,1","Normalt"
"2022-08-17 18:00","1,73","26,6","Normalt"
"2022-08-17 19:00","1,73","24,9","Normalt"
"2022-08-17 20:00","0,84","23,6","Normalt"
"2022-08-17 21:00","0,8",23,"Normalt"
"2022-08-17 22:00","0,84","21,2","Normalt"
"2022-08-17 23:00","1,24","20,2","Normalt"
"2022-08-18 00:00","2,73","19,8","Normalt"
"2022-08-18 01:00","1,66",19,"Normalt"
"2022-08-18 02:00","0,3",18,"Normalt"
"2022-08-18 03:00","0,31","17,4","Normalt"
"2022-08-18 04:00","0,31","16,9","Normalt"
"2022-08-18 05:00","0,3","16,7","Normalt"
"2022-08-18 06:00","0,28","16,7","Normalt"
"2022-08-18 07:00","0,29","17,4","Normalt"
"2022-08-18 08:00","0,82","18,8","Normalt"
"2022-08-18 09:00","1,2","20,3","Normalt"
"2022-08-18 10:00","0,57","22,4","Normalt"
"2022-08-18 11:00","0,53","24,4","Normalt"
"2022-08-18 12:00","0,42","26,4","Normalt"
"2022-08-18 13:00","0,57","27,4","Normalt"
"2022-08-18 14:00","0,51","28,2","Normalt"
"2022-08-18 15:00","1,53","27,6","Normalt"
"2022-08-18 16:00","0,62","26,4","Normalt"
"2022-08-18 17:00","1,89","24,7","Normalt"
"2022-08-18 18:00","0,42","22,9","Normalt"
"2022-08-18 19:00","1,05","21,7","Normalt"
"2022-08-18 20:00","1,62","20,7","Normalt"
"2022-08-18 21:00","0,68","19,6","Normalt"
"2022-08-18 22:00","0,6","19,1","Normalt"
"2022-08-18 23:00","1,23","18,2","Normalt"
"2022-08-19 00:00","2,03","18,3","Normalt"
"2022-08-19 01:00","2,14","18,3","Normalt"
"2022-08-19 02:00","1,28","18,6","Normalt"
"2022-08-19 03:00","0,3",19,"Normalt"
"2022-08-19 04:00","0,3","19,3","Normalt"
"2022-08-19 05:00","0,29","19,4","Normalt"
"2022-08-19 06:00","0,78","19,6","Normalt"
"2022-08-19 07:00","1,23","19,6","Normalt"
"2022-08-19 08:00","0,4","20,4","Normalt"
"2022-08-19 09:00","0,41","21,5","Normalt"
"2022-08-19 10:00","0,42","24,4","Normalt"
"2022-08-19 11:00","0,46","26,6","Normalt"
"2022-08-19 12:00","1,26","28,2","Normalt"
"2022-08-19 13:00","0,73","29,8","Normalt"
"2022-08-19 14:00","0,43","29,7","Normalt"
"2022-08-19 15:00","0,58","29,9","Normalt"
"2022-08-19 16:00","0,5","30,8","Normalt"
"2022-08-19 17:00","0,55","29,7","Normalt"
"2022-08-19 18:00","1,04","29,1","Normalt"
"2022-08-19 19:00","1,47","27,1","Normalt"
"2022-08-19 20:00","0,64","25,1","Normalt"
"2022-08-19 21:00","0,94","23,6","Normalt"
"2022-08-19 22:00","0,68","22,8","Normalt"
"2022-08-19 23:00","0,66","22,1","Normalt"
"2022-08-20 00:00","0,8","21,6","Normalt"
"2022-08-20 01:00","2,07","21,8","Normalt"
"2022-08-20 02:00","0,85","21,5","Normalt"
"2022-08-20 03:00","0,52","21,2","Normalt"
"2022-08-20 04:00","0,28","21,2","Normalt"
"2022-08-20 05:00","0,3",21,"Normalt"
"2022-08-20 06:00","0,31","22,2","Normalt"
"2022-08-20 07:00","0,28","21,3","Normalt"
"2022-08-20 08:00","0,89","20,6","Normalt"
"2022-08-20 09:00","1,84","20,5","Normalt"
"2022-08-20 10:00","0,92","20,7","Normalt"
"2022-08-20 11:00","0,41","20,7","Normalt"
"2022-08-20 12:00","0,44","21,2","Normalt"
"2022-08-20 13:00","0,5","21,6","Normalt"
"2022-08-20 14:00","0,76","21,7","Normalt"
"2022-08-20 15:00","1,41","22,2","Normalt"
"2022-08-20 16:00",1,"23,4","Normalt"
"2022-08-20 17:00","0,91","22,4","Normalt"
"2022-08-20 18:00","1,3","21,7","Normalt"
"2022-08-20 19:00","1,31","21,1","Normalt"
"2022-08-20 20:00","0,57","20,8","Normalt"
"2022-08-20 21:00","1,17","20,1","Normalt"
"2022-08-20 22:00","0,69","19,2","Normalt"
"2022-08-20 23:00","0,68","18,4","Normalt"
"2022-08-21 00:00","1,6","17,9","Normalt"
"2022-08-21 01:00","0,58","17,3","Normalt"
"2022-08-21 02:00","0,32","16,8","Normalt"
"2022-08-21 03:00","0,31","15,8","Normalt"
"2022-08-21 04:00","0,32","15,4","Normalt"
"2022-08-21 05:00","0,31","15,6","Normalt"
"2022-08-21 06:00","0,57","15,4","Normalt"
"2022-08-21 07:00","1,06","15,9","Normalt"
"2022-08-21 08:00","0,38","16,4","Normalt"
"2022-08-21 09:00","0,31","17,2","Normalt"
"2022-08-21 10:00","0,9","18,1","Normalt"
"2022-08-21 11:00","1,08","18,9","Normalt"
"2022-08-21 12:00","1,61","19,6","Normalt"
"2022-08-21 13:00","1,79","19,9","Normalt"
"2022-08-21 14:00","0,39","19,9","Normalt"
"2022-08-21 15:00","0,38","21,2","Normalt"
"2022-08-21 16:00","0,94","22,1","Normalt"
"2022-08-21 17:00","1,21","23,3","Normalt"
"2022-08-21 18:00",2,23,"Normalt"
"2022-08-21 19:00","3,02","21,9","Normalt"
"2022-08-21 20:00","1,39","20,6","Normalt"
"2022-08-21 21:00","0,54","18,8","Normalt"
"2022-08-21 22:00","1,2","18,1","Normalt"
"2022-08-21 23:00","0,82","17,8","Normalt"
"2022-08-22 00:00","0,61","17,4","Normalt"
"2022-08-22 01:00","0,72","17,2","Normalt"
"2022-08-22 02:00","1,17","16,7","Normalt"
"2022-08-22 03:00","0,32","16,8","Normalt"
"2022-08-22 04:00","0,29","16,6","Normalt"
"2022-08-22 05:00","0,32",16,"Normalt"
"2022-08-22 06:00","0,31","15,4","Normalt"
"2022-08-22 07:00","0,33","15,6","Normalt"
"2022-08-22 08:00","0,67","16,4","Normalt"
"2022-08-22 09:00","1,38","17,2","Normalt"
"2022-08-22 10:00","0,53","18,2","Normalt"
"2022-08-22 11:00","0,56","18,9","Normalt"
"2022-08-22 12:00","0,65","19,7","Normalt"
"2022-08-22 13:00","0,63","20,8","Normalt"
"2022-08-22 14:00","0,56","21,8","Normalt"
"2022-08-22 15:00","0,45","22,5","Normalt"
"2022-08-22 16:00","0,44","23,1","Normalt"
"2022-08-22 17:00","1,54","23,6","Normalt"
"2022-08-22 18:00","1,21","22,9","Normalt"
"2022-08-22 19:00","0,75","21,8","Normalt"
"2022-08-22 20:00","2,1","20,3","Normalt"
"2022-08-22 21:00","1,51","18,2","Normalt"
"2022-08-22 22:00","1,26","16,5","Normalt"
"2022-08-22 23:00","0,77","15,2","Normalt"
"2022-08-23 00:00","0,55","15,2","Normalt"
"2022-08-23 01:00","0,46","14,2","Normalt"
"2022-08-23 02:00","0,38","13,7","Normalt"
"2022-08-23 03:00","0,91","13,4","Normalt"
"2022-08-23 04:00","0,7","13,2","Normalt"
"2022-08-23 05:00","0,3","13,1","Normalt"
"2022-08-23 06:00","0,98","13,1","Normalt"
"2022-08-23 07:00","0,7","13,9","Normalt"
